id,src_product,dst_product,ql,coverage,cf_view,seam,defined_in,tracked_by
A3->A3,Factory,Factory,,I,CF4,self:Factory,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#131(PR);EpiLogos/agent-system-design#142(PR)
A3->A4,Factory,Workcell,D3:B2,H,CF5-field,34:development-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#142(PR);EpiLogos/Workcell#18(PR)
A3->A5,Factory,QL,,S,,35:development-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#132(PR);EpiLogos/QL-MEF#19(PR)
A4->H0,Workcell,Central,,W,CF5/CF6-field,04:ground-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Workcell#18(PR)
A4->H1,Workcell,Actuation,D2-complete.inverse,H,CF5-field,14:agency-embodiment,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Workcell#18(PR)
A4->H2,Workcell,AIKit,,S,CF5-field,24:context-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/Workcell#18(PR)
A4->H3,Workcell,Factory,D2-transform.inverse,H,CF5-field,34:development-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#142(PR);EpiLogos/Workcell#18(PR)
A4->H4,Workcell,Workcell,D1.inverse,H,CF5-field,conjugation:Workcell,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR)
A4->H5,Workcell,QL,D2-require.inverse,H,CF5/CF6-field,45:actuality-formal-intelligence,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR);EpiLogos/QL-MEF#19(PR)
A4->A0,Workcell,Central,,W,CF5/CF6-field,04:ground-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Workcell#18(PR)
A4->A1,Workcell,Actuation,D3:C2,H,CF5-field,14:agency-embodiment,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Workcell#18(PR)
A4->A2,Workcell,AIKit,,S,CF5-field,24:context-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/Workcell#18(PR)
A4->A3,Workcell,Factory,D3:B2,H,CF5-field,34:development-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#142(PR);EpiLogos/Workcell#18(PR)
A4->A4,Workcell,Workcell,,I,CF5-field,self:Workcell,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR)
A4->A5,Workcell,QL,D3:A3,H,CF5/CF6-field,45:actuality-formal-intelligence,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR);EpiLogos/QL-MEF#19(PR)
A5->H0,QL,Central,D2-require.inverse|D2-complete.inverse,H,CF7,05/50:ground-synthesis,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/QL-MEF#19(PR)
A5->H1,QL,Actuation,,S,,15:agency-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/QL-MEF#19(PR)
A5->H2,QL,AIKit,,S,,25:context-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/QL-MEF#19(PR)
A5->H3,QL,Factory,,S,,35:development-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#132(PR);EpiLogos/QL-MEF#19(PR)
A5->H4,QL,Workcell,D2-transform.inverse,H,CF5/CF6-field,45:actuality-formal-intelligence,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR);EpiLogos/QL-MEF#19(PR)
A5->H5,QL,QL,D1.inverse,H,,conjugation:QL,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/QL-MEF#19(PR)
A5->A0,QL,Central,D3:B3|D3:C1,H,CF7,05/50:ground-synthesis,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/QL-MEF#19(PR)
A5->A1,QL,Actuation,,S,,15:agency-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/QL-MEF#19(PR)
A5->A2,QL,AIKit,,S,,25:context-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/ai-kit#58(PR);EpiLogos/QL-MEF#19(PR)
A5->A3,QL,Factory,,S,,35:development-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/agent-system-design#132(PR);EpiLogos/QL-MEF#19(PR)
A5->A4,QL,Workcell,D3:A3,H,CF5/CF6-field,45:actuality-formal-intelligence,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Workcell#18(PR);EpiLogos/QL-MEF#19(PR)
A5->A5,QL,QL,,I,,self:QL,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/QL-MEF#19(PR)
